"","Actinomyces-naeslundii","Actinomyces-oris","Actinomyces-sp.-oral-taxon-171","Actinomyces-sp.-oral-taxon-414","Actinomyces-sp.-oral-taxon-897","Aerococcus-urinaeequi","Aerococcus-viridans","Bacillus-cereus","Brevibacterium-linens","Brevundimonas-diminuta","Brevundimonas-vesicularis","Cardiobacterium-hominis","Chryseobacterium-gleum","Chryseobacterium-indologenes","Chryseobacterium-taklimakanense","Corynebacterium-doosanense","Corynebacterium-jeikeium","Corynebacterium-sanguinis","Corynebacterium-simulans","Corynebacterium-singulare","Corynebacterium-stationis","Corynebacterium-striatum","Corynebacterium-ureicelerivorans","Corynebacterium-variabile","Corynebacterium-xerosis","Cutibacterium-acnes","Cutibacterium-avidum","Dermacoccus-nishinomiyaensis","Dolosigranulum-pigrum","Epidermidibacterium-keratini","Fusobacterium-nucleatum","Gardnerella-vaginalis","Gemella-haemolysans","Gordonia-bronchialis","Gordonia-terrae","Haematobacter-massiliensis","Haemophilus-parainfluenzae","Klebsiella-aerogenes","Lactobacillus-delbrueckii","Lactobacillus-iners","Lactobacillus-reuteri","Lactococcus-lactis","Lautropia-mirabilis","Lawsonella-clevelandensis","Leptotrichia-sp.-oral-taxon-212","Leptotrichia-wadei","Lysobacter-oculi","Malassezia-furfur","Malassezia-restricta","Massilia-oculi","Moraxella-osloensis","Neisseria-elongata","Neisseria-mucosa","Neisseria-subflava","Pantoea-dispersa","Porphyromonas-gingivalis","Prevotella-denticola","Prevotella-intermedia","Prevotella-melaninogenica","Pseudomonas-aeruginosa","Pseudomonas-mendocina","Pseudomonas-monteilii","Pseudopropionibacterium-propionicum","Rothia-aeria","Rothia-dentocariosa","Rothia-mucilaginosa","Schaalia-odontolytica","Staphylococcus-aureus","Staphylococcus-haemolyticus","Staphylococcus-pettenkoferi","Staphylococcus-saprophyticus","Staphylococcus-sciuri","Staphylococcus-warneri","Streptococcus-cristatus","Streptococcus-mitis","Streptococcus-pneumoniae","Streptococcus-sanguinis","Streptococcus-thermophilus","Tannerella-sp.-oral-taxon-HOT-286","Tsukamurella-tyrosinosolvens","Veillonella-parvula","Weissella-confusa"
"sample_1",0,0,0.105811562516169,0,0,0.317434687548508,0,0,0.105811562516169,0.529057812580847,0.211623125032339,0,0,0.317434687548508,0,0,0,0,0,0.211623125032339,0,0,0.317434687548508,0,0,27.8284409417525,0,0,0,0,0,1.58717343774254,0,0.211623125032339,0,0,0,0.846492500129355,0.211623125032339,0,0,0.105811562516169,0,0.105811562516169,0,0,0.105811562516169,0,1.26973875019403,0.529057812580847,6.34869375097016,0.105811562516169,0.105811562516169,0,0,0,0,0.211623125032339,0,1.05811562516169,0,0.105811562516169,0,0,0,0,0,0.105811562516169,0.105811562516169,0,0.211623125032339,0,0.211623125032339,0,0,0,0,0.634869375097016,0,0,0,0
"sample_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101007996676837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252519991692092,0.0757559975076277,0.404031986707348,1.94440393602911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505039983384185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_3",0,0,0,0,0,0,0,0.113842386013461,0,0.0569211930067305,0.0569211930067305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569211930067305,0,0,0,0,0.0569211930067305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227684772026922,1.99224175523557,0,0.113842386013461,0,0,0,0,0,0,0,0,0.341527158040383,0,0.0569211930067305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_4",0,0,0,0,0,0,0,0,0,3.65414186703354,6.3947482673087,0,0,0,0,0,0,0,0,0,0,0,1.14191933344798,0,0,19.6410125353053,0,0,0,0,0,0,0,0,1.59868706682717,0.685151600068789,0,2.05545480020637,0,0,0,0,0,0.989663422321584,0,0,0,0,0,0,13.7030320013758,0,0,0,0,0,0,0,0,5.70959666723991,2.96899026696475,0,0,0,0,0,0,1.97932684464317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361212431198062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216727458718837,0,1.01139480735457,0,0,0,0,0,0,0,0,0.0722424862396124,0,0.216727458718837,0,0,0,0,0,0,0,0,0,0,0.144484972479225,0,0,0,0,0,0,0,0,0
"sample_6",0,0,0,3.66466881138633,0,0,0,0.0832879275315074,0,0,2.83178953607125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91453259398085,0,0,0,0,0,0,0.166575855063015,0,0,0,0,0,0,0,0,0,0.0832879275315074,7.57920140536717,0,0,0,0,7.8290651879617,0,0.416439637657537,0,0,0,0,0,0,0,0,2.33206197088221,0,0,0,0,0,2.99836539113427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_7",0,0,0,0,0.0998236066957882,0,0,0,0,0,0.249559016739471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598941640174729,0.199647213391576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199647213391576,0,0.349382623435259,0,0.499118033478941,0,0,0,0,0,0,0.0998236066957882,0,0.0499118033478941,0.149735410043682,0.149735410043682,0,0,0,0,0,0.0499118033478941,0.0998236066957882,0.199647213391576,0,0,0,0,0,0,0,0,0,0,0,0
"sample_8",0,0,0,0,0,0.0220226956211085,0,0,0,0.0660680868633255,0,0,0,0.0220226956211085,0,0,0,0,0.044045391242217,0,0,0,0,0,0,0.726748955496581,0,0,0,0,0,0.0220226956211085,0,0,0.0220226956211085,0,0,0,0,0,0.044045391242217,0,0,0,0,0,0,0,0.044045391242217,0,0.330340434316628,0,0.0220226956211085,0,0,0,0.0220226956211085,0,0,0.088090782484434,0,0,0.0220226956211085,0.0220226956211085,0,0,0,0,0.088090782484434,0,0,0,0,0.0220226956211085,0,0,0,0.044045391242217,0,0,0,0
"sample_9",0,0,0,14.8019055691289,0,0,0,3.43615664997634,0,4.14100929612534,14.1851595037485,0,0,0,0,0,0,0,1203.71210646094,0,0,11.1014291768466,0,0,0,11.5419620806898,0,0,0,17.1807832498817,0,0,0,0,0,0,0,7.04852646148994,0.0881065807686242,0,0,0,0.0881065807686242,0,0,0,0,0,11.3657489191525,4.05290271535671,6.43178039610957,0,0,0,0.352426323074497,0,0,0,0,6.60799355764681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42351125161564,0,0,0,0,0,0,0,0,0,0,0,0.61954422973633,0,0,0,0,0,0,0,0,0,0,0,0,0.0546656673296762,0,0,0,0.364437782197841,0,0,0,0,0.455547227747301,0,0,0,0,0.0182218891098921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_11",0,0,0,0,0,0,0,0,0,0,0,0,0.0919975515771623,0,0,0,0,0,0,0,0,0,0,0,0,1.05797184313737,0,0,0.0459987757885812,0,0,0,0,0,0,0,0,0.0919975515771623,0,0.0459987757885812,0,0,0,0,0,0,0,0,0.321991430520068,0,0.321991430520068,0,0,0,0,0,0,0,0.137996327365743,0.0919975515771623,0,0,0,0,0,0.321991430520068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_12",0,0,0,0,0,0,0,0,0,0.21855508165043,0.087422032660172,0,0,0,0.043711016330086,0,0.043711016330086,0,0,0,0,0,0,0,0,3.89028045337766,0,0,0,0,0,0.174844065320344,0,0,0,0,0,0.480821179630946,0,1.31133048990258,0,0.087422032660172,0,0.480821179630946,0,0,0,0,2.22926183283439,0,1.61730760421318,0,0,0,0,0,0,0,0,0.131133048990258,0,0,0,0,0,0,0,0,0,0,0,0.305977114310602,0,0,0,0,0,0,0,1.09277540825215,0,0
"sample_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193943561492677,0,0,0,0,0,0,0.0387887122985353,0,0,0,0.0387887122985353,0,0,1.62912591653848,0,0,0,0,0,0,0,0,0.0775774245970706,0,0.387887122985353,0,0,0,0,0,0,0,0,0,0,0.0387887122985353,0,0,0,0,0,0.0387887122985353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_14",0,0.0648306875281446,0,0,0,0,0,0,0,0.0648306875281446,0,0,0,0.129661375056289,0,0,0,0,0,0,0,0,0.194492062584434,0,0,2.26907406348506,0,0,0,0.0648306875281446,0,0.583476187753302,0.194492062584434,0,0,0,0.0648306875281446,0.583476187753302,0,0.129661375056289,0,0,0,0.194492062584434,0,0.0648306875281446,0,0.713137562809591,10.761894129672,0.0648306875281446,0.713137562809591,0,0,0,0,0,0,0,0,0,0.388984125168868,0.324153437640723,0,0,0.0648306875281446,0.259322750112578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324153437640723,0
